date,Trades
2024-12-27,260
2024-12-28,161
2024-12-29,201
2024-12-30,304
2024-12-31,306
2025-01-01,96
2025-01-02,361
2025-01-03,508
2025-01-04,371
2025-01-05,239
2025-01-06,573
2025-01-07,637
2025-01-08,1039
2025-01-09,522
2025-01-10,819
2025-01-11,283
2025-01-12,602
2025-01-13,408
2025-01-14,275
2025-01-15,267
2025-01-16,371
2025-01-17,238
2025-01-18,651
2025-01-19,1567
2025-01-20,1315
2025-01-21,530
2025-01-22,832
2025-01-23,1218
2025-01-24,874
2025-01-25,506
2025-01-26,451
2025-01-27,773
2025-01-28,498
2025-01-29,910
2025-01-30,1067
2025-01-31,1016
2025-02-01,634
2025-02-02,1319
2025-02-03,2380
2025-02-04,2512
2025-02-05,1297
2025-02-06,1703
2025-02-07,1524
2025-02-08,575
2025-02-09,764
2025-02-10,889
2025-02-11,848
2025-02-12,1031
2025-02-13,1370
2025-02-14,1655
2025-02-15,932
2025-02-16,681
2025-02-17,941
2025-02-18,1676
2025-02-19,1361
2025-02-20,2012
2025-02-21,1873
2025-02-22,686
2025-02-23,520
2025-02-24,5616
2025-02-25,6246
2025-02-26,1176
2025-02-27,890
2025-02-28,1019
2025-03-01,174
2025-03-02,532
2025-03-03,1482
2025-03-04,2402
2025-03-05,1660
2025-03-06,760
2025-03-07,2552
2025-03-08,529
2025-03-09,1422
2025-03-10,2911
2025-03-11,3286
2025-03-12,3968
2025-03-13,962
2025-03-14,2210
2025-03-15,261
2025-03-16,530
2025-03-17,920
2025-03-18,834
2025-03-19,1612
2025-03-20,771
2025-03-21,698
2025-03-22,535
2025-03-23,447
2025-03-24,1027
2025-03-25,791
2025-03-26,3102
2025-03-27,785
2025-03-28,728
2025-03-29,1894
2025-03-30,568
2025-03-31,495
2025-04-01,192
2025-04-02,1076
2025-04-03,1748
2025-04-04,1272
2025-04-05,360
2025-04-06,1048
2025-04-07,2814
2025-04-08,943
2025-04-09,3967
2025-04-10,2127
2025-04-11,1096
2025-04-12,2109
2025-04-13,1321
2025-04-14,890
2025-04-15,1131
2025-04-16,1608
2025-04-17,1031
2025-04-18,1894
2025-04-19,2786
2025-04-20,1982
2025-04-21,1718
2025-04-22,2998
2025-04-23,6159
2025-04-24,2232
2025-04-25,1653
2025-04-26,1131
2025-04-27,337
2025-04-28,1379
2025-04-29,2243
2025-04-30,1113
2025-05-01,1230
